IncidentID,StartTime (EST),EndTime (EST),RoadName,Suffix,Direction,CrossStreetName,CrossStreetSuffix,CrossStCommonName,MM From,MM To,County,City,Division,Latitude,Longitude,StartLatitude,StartLongitude,EndLatitude,EndLongitude,SubmittedBy,ContactName,ContactPhone,ConstructionDate,ContractNumber,Expected Impact to Traffic,Condition,ConditionName,CommonName,Incident Type,Event,EventName,LanesClosed,LanesTotal,Fatality,Structure Affected,Unusual Event in WorkZone,Commercial Vehicle,Hazardous Materials,Overturned Commercial Vehicle,Reason,DOTNotes,Detour,CreatedOn (EST),LastUpdated (EST),Project,WeightLimit,Width,HeightFt,HeightIn
505489,4/30/2017 3:40:00 AM,4/30/2017 8:07:34 AM,US-1,,Heading North,SR-3977,,SR-3977,99.0,-999.0,Wake,In Cary,5,35.747746919135,-78.7737453148247,,,,,pjherzog,STOC,(877) 627-7862,,,High,5,Road Closed,US-1,Vehicle Crash,1,None,0,0,True,False,False,False,False,False,The road has reopened near Exit 99 (Cary Parkway).,"cctv 1080   265 
Added cross street and extended incident -- 256",,4/30/2017 3:42:25 AM,4/30/2017 8:07:34 AM,,,,,
505486,4/30/2017 12:21:00 AM,4/30/2017 2:06:25 AM,I-77,,Heading South,,,,6.0,-999.0,Mecklenburg,In Charlotte,10,35.478431,-80.874607,,,,,ssgriffin1,STOC,(877) 627-7862,,,Medium,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The shoulder has reopened near Exit 6 (Billy Graham Pkwy).,Map and SHP Confirmed -- 256,,4/30/2017 12:25:26 AM,4/30/2017 2:06:25 AM,,,,,
505482,4/29/2017 10:33:00 PM,4/29/2017 11:04:02 PM,I-485,,Both Directions,SR-1009,,SR-1009,52.0,-999.0,Mecklenburg,In Charlotte,10,35.1068176102473,-80.69832885137,,,,,ssgriffin1,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,5,False,False,False,False,False,False,The lanes have repened near Exit 52 (Old Monroe Road).,"shp-260
Crash in BD; therefore, TIMS updated to reflect &quot;near&quot; instead of &quot;just past&quot; the Exit.",,4/29/2017 10:35:38 PM,4/29/2017 11:04:02 PM,,,,,
505481,4/29/2017 10:09:00 PM,4/30/2017 12:21:22 AM,NC-50,,Outer Loop,,,,-999.0,-999.0,Wake,Near Wake Forest,5,36.023102,-78.695207,,,,,lalittle4,STOC,(877) 627-7862,,,Medium,8,Congestion,NC50,Vehicle Crash,1,None,0,0,True,False,False,False,False,False,Traffic patterns have returned to normal near Falls Lake Highway 50 Launch Recreational Area.,SHP cad Feed Congestion On MAP / 265,,4/29/2017 10:15:08 PM,4/30/2017 12:21:22 AM,,,,,
505480,4/29/2017 10:08:00 PM,4/29/2017 10:43:08 PM,I-485,,Outer Loop,SR-1009,,SR-1009,52.0,-999.0,Mecklenburg,In Charlotte,10,35.0994226277591,-80.7151680967765,,,,,rdouglas1,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,A lane is closed near Exit 52 (Old Monroe Road).,maps-260,,4/29/2017 10:12:18 PM,4/29/2017 10:43:08 PM,,,,,
505476,4/29/2017 3:56:00 PM,5/5/2017 12:34:00 PM,SR-2051,,Both Directions,SR-2050,,Rock Rd,-999.0,-999.0,Wayne,,4,35.2708999113138,-77.9306210443077,,,,,waharper,Wade Harper,(919) 739-5330,,,Low,5,Road Closed,Slick Rock Rd,Road Obstruction,141,4/24-4/25 2017 Flooding,0,0,False,False,False,False,False,False,Flooding,,,4/29/2017 3:59:01 PM,5/3/2017 7:22:18 AM,,,,,
505475,4/29/2017 3:52:00 PM,5/3/2017 12:00:00 AM,SR-1932,,Both Directions,SR-1917,,Casey Mill Rd,-999.0,-999.0,Wayne,,4,35.3011590573033,-77.9749482960473,,,,,waharper ,Wade Harper,(919) 739-5330,,,Low,5,Road Closed,Emmous Church,Road Obstruction,141,4/24-4/25 2017 Flooding,0,0,False,False,False,False,False,False,Flooding,,,4/29/2017 3:55:24 PM,5/1/2017 10:31:13 AM,,,,,
505474,4/29/2017 3:21:00 PM,4/29/2017 4:26:32 PM,I-77,,Heading North,SR-1138,,SR-1138,4.0,-999.0,Mecklenburg,Near Charlotte,10,35.147612,-80.896835,,,,,Hlsimmons,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,3,False,False,False,False,False,False,The left lane has reopened near exit 4 ( Nations Ford Rd).,called troop twice,,4/29/2017 3:26:06 PM,4/29/2017 4:26:32 PM,,,,,
505472,4/29/2017 2:01:00 PM,4/29/2017 3:21:07 PM,US-74,,Both Directions,,,,-999.0,-999.0,New Hanover,Near Wilmington,3,34.2339176513825,-77.8410677358962,,,,,nasparks,STOC,(877) 627-7862,,,High,1,Lanes Closed,Eastwood Road,Vehicle Crash,1,None,4,5,True,False,False,False,False,False,All westbound lanes and the left eastbound lane has reopened at Rogersville Road.,Wilmington pd.,,4/29/2017 2:03:12 PM,4/29/2017 3:21:07 PM,,,,,
505470,4/29/2017 12:36:00 PM,4/29/2017 1:13:54 PM,I-85,,Heading South,NC-49,,NC-49,144.0,-999.0,Alamance,In Burlington,7,36.0650750475252,-79.4497323618833,,,,,ctfilyaw,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,4,False,False,False,False,False,False,The 2 left lanes have reopened near Exit 145 (NC-49/Maple Ave).,Vehicle Fire/CTF/SHP confirmed,,4/29/2017 12:38:38 PM,4/29/2017 1:13:54 PM,,,,,
505469,4/29/2017 12:15:00 PM,4/29/2017 1:27:12 PM,I-40,,Heading East,,,,53.0,-999.0,Buncombe,Near Asheville,13,35.5668731621441,-82.4971834102628,,,,,nasparks,STOC,(877) 627-7862,,,High,5,Road Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,All lanes have reopened near Exit 53 (I-240).,nas. maps.,,4/29/2017 12:17:19 PM,4/29/2017 1:27:12 PM,,,,,
505468,4/29/2017 11:32:00 AM,4/29/2017 12:22:42 PM,NC-73,,Both Directions,,,,-999.0,-999.0,Lincoln,Near Lincolnton,12,35.480106426194,-81.1057861007473,,,,,nasparks,STOC,(877) 627-7862,,,High,5,Road Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,All lanes have reopened near Amity Church Road.,shp. nas.,Motorists must follow the direction of local law enforcement.,4/29/2017 11:36:00 AM,4/29/2017 12:22:42 PM,,,,,
505467,4/29/2017 11:13:00 AM,4/29/2017 8:11:02 PM,US-74,,Heading East,,,,172.0,-999.0,Polk,Near Columbus,14,35.2877499324568,-82.0300227944866,,,,,Hlsimmons,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,True,False,False,False,False,False,The right lane has reopend near Exit 170 (Pea Ridge Road).,shp. nas.,,4/29/2017 11:16:02 AM,4/29/2017 8:11:02 PM,,,,,
505466,4/29/2017 9:45:00 AM,4/29/2017 10:13:49 PM,I-40,,Heading East,,,,263.0,-999.0,Orange,Near Hillsborough,7,36.0083058595928,-79.0834169329071,,,,,odhaynes,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,False,False,False,True,True,False,The right lane reopened near Exit 263 (New Hope Church Road).,CCTV 1004. NAS.,"Motorists are advised to take I-85 North to Exit 165 (NC-86). Take Exit 165, then make a right turn onto NC-86 South. Continue on NC-86 South for approximately 6.5 miles, then make a left turn to re-access I-40 East.",4/29/2017 9:47:43 AM,4/29/2017 10:13:49 PM,,,,,
505465,4/29/2017 9:25:00 AM,5/3/2017 12:00:00 AM,SR-1917,,Both Directions,SR-1918,,Pecan Rd,-999.0,-999.0,Wayne,,4,35.3204826195338,-77.9852188043023,,,,,waharper ,Wade Harper,(919) 739-5330,,,Low,5,Road Closed,Casey Mill Rd,Road Obstruction,141,4/24-4/25 2017 Flooding,0,0,False,False,False,False,False,False,Flooding,,,4/29/2017 9:28:38 AM,5/1/2017 10:29:16 AM,,,,,
505462,4/29/2017 7:52:00 AM,4/29/2017 8:53:39 AM,US-70,,Heading West,I-40,,I-40,-999.0,-999.0,Wake,In Raleigh,5,35.7508376674839,-78.6489658023289,,,,,ctfilyaw,STOC,(877) 627-7862,,,High,10,Lane Closed,S Saunders Street,Vehicle Crash,1,None,1,3,False,False,False,False,False,False,The left lane reopened near I-40.,CCTV 1034,,4/29/2017 8:01:50 AM,4/29/2017 8:53:39 AM,,,,,
505461,4/29/2017 7:52:00 AM,4/29/2017 8:56:03 AM,NC-403,,Both Directions,,,,-999.0,-999.0,Sampson,Near Clinton,3,35.0095434740077,-78.3020794387523,,,,,nasparks,STOC,(877) 627-7862,,,High,5,Road Closed,Faison Highway,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,All lanes are open at H.B. Lewis Road.,nas. shp.,Motorists must follow the directions of local law enforcement.,4/29/2017 7:59:02 AM,4/29/2017 8:56:03 AM,,,,,
505460,4/29/2017 7:31:00 AM,4/30/2017 8:00:00 AM,SR-1500,,Both Directions,,,Dail Loop Road,-999.0,-999.0,Edgecombe,Near Leggett,4,35.9945349851294,-77.5706214675171,,,,,nasparks,STOC,(877) 627-7862,,,Medium,5,Road Closed,Spivey Rd,Road Obstruction,1,None,0,0,False,False,False,False,False,False,"The road is closed between Dail Loop Road and Mabry Creek Road, due to flooding.&nbsp;",,,4/29/2017 7:37:28 AM,4/29/2017 7:37:28 AM,,,,,
505459,4/29/2017 2:32:00 AM,4/29/2017 3:26:56 AM,I-40,,Heading West,,,,192.0,-999.0,Forsyth,In Winston-Salem,9,36.0657388016096,-80.2559555837281,,,,,cljackson8,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,3,False,False,False,False,False,False,"The two right lanes reopened near Exit 192, Peters Creek Parkway.",shp 263,,4/29/2017 2:43:46 AM,4/29/2017 3:26:56 AM,,,,,
505458,4/29/2017 2:35:00 AM,5/2/2017 12:00:00 PM,SR-1918,,Both Directions,NC-581,,Arrington Bridge Road,-999.0,-999.0,Wayne,,4,35.3271177955582,-77.9946147063023,,,,,waharper ,Wade Harper,(919) 739-5330,,,Medium,5,Road Closed,Pecan Rd,Road Obstruction,141,4/24-4/25 2017 Flooding,0,0,False,False,False,False,False,False,Flooding,,,4/29/2017 2:38:31 AM,5/1/2017 10:29:53 AM,,,,,
505457,4/29/2017 2:30:00 AM,5/1/2017 12:02:00 PM,SR-1926,,Both Directions,US-117,,US 117,-999.0,-999.0,Wayne,,4,35.337349504321,-78.0281927223426,,,,,waharper,Wade Harper,(919) 739-5330,,,Low,5,Road Closed,Old Mount Olive,Road Obstruction,141,4/24-4/25 2017 Flooding,0,0,False,False,False,False,False,False,Flooding,,,4/29/2017 2:35:21 AM,4/29/2017 2:35:21 AM,,,,,
505456,4/29/2017 12:01:00 AM,4/29/2017 12:23:50 AM,I-440,,Heading East,,,,12.0,-999.0,Wake,In Raleigh,5,35.805339,-78.596841,,,,,lalittle4,STOC,(877) 627-7862,,,Medium,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The shoulder has reopened near Exit 12 (Yonkers Road).,CCTV 1093,,4/29/2017 12:07:47 AM,4/29/2017 12:23:50 AM,,,,,
505455,4/28/2017 11:32:00 PM,4/29/2017 4:07:23 AM,SR-1728,,Inner Loop,SR-1664,,SR-1664,-999.0,-999.0,Wake,In Raleigh,5,35.8037463836909,-78.7037649644017,,,,,lalittle4,STOC,(877) 627-7862,,,High,2,Shoulder Closed,Wade Ave,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The shoulder has reopened near Blue Ridge Road.&nbsp;,CCTV confirmed. 256,,4/28/2017 11:35:41 PM,4/29/2017 4:07:23 AM,I-440 Improvement,,,,
505454,4/28/2017 11:05:00 PM,4/28/2017 11:34:51 PM,US-401,,Heading North,SR-2917,,SR-2917,-999.0,-999.0,Wake,In Raleigh,5,35.844723,-78.569241,,,,,lalittle4,STOC,(877) 627-7862,,,High,1,Lanes Closed,Louisburg Road,Vehicle Crash,1,None,2,4,False,False,False,False,False,False,The two right lanes hasve reopened near Valley Stream Drive.,CCTV 3006 265,,4/28/2017 11:13:10 PM,4/28/2017 11:34:51 PM,,,,,
505453,4/28/2017 10:55:00 PM,4/29/2017 1:55:00 AM,NC-251,,Heading North,SR-1668,,Woodfin Ave,-999.0,-999.0,Buncombe,Near Asheville,13,35.6268066753576,-82.5834737128502,,,,,rdouglas1,STOC,(877) 627-7862,,,High,10,Lane Closed,NC-251,Road Obstruction,1,None,1,2,False,False,False,False,False,False,The traffic has returned to normal near Woodfin Avenue. &nbsp;,"Maps-260
Updated to reflect correct cross street and incident type -- 256",,4/28/2017 11:05:46 PM,4/29/2017 12:22:49 AM,,,,,
505452,4/28/2017 10:53:00 PM,4/28/2017 11:04:17 PM,I-40,,Heading East,,,,295.0,-999.0,Wake,Near Raleigh,5,35.7520337385831,-78.6931478935685,,,,,lalittle4,STOC,(877) 627-7862,,,High,10,Lane Closed,,Disabled Vehicle,1,None,1,3,False,False,True,False,False,False,The center lane has reopened near Exit 295 (Gorman Street).,CCTV 1032 IMAP P205  265,,4/28/2017 10:58:21 PM,4/28/2017 11:04:17 PM,,,,,
505451,4/28/2017 9:35:00 PM,4/28/2017 10:02:03 PM,I-40,,Heading East,,,,300.0,-999.0,Wake,Near Raleigh,5,35.7565724150398,-78.6125461595564,,,,,swkohl,STOC,(877) 627-7862,,,High,10,Lane Closed,,Disabled Vehicle,1,None,1,2,False,False,False,False,False,False,The right lane has reopened at the top of the ramp on Exit 300 (Rock Quarry Road).,swk-267-cctv,,4/28/2017 9:41:22 PM,4/28/2017 10:02:03 PM,,,,,
505450,4/28/2017 9:01:00 PM,4/28/2017 11:27:26 PM,US-1,,Heading North,NC-42,,NC-42,-999.0,-999.0,Lee,In Sanford,8,35.474061116953,-79.2011273555707,,,,,stminnick,STOC,(877) 627-7862,,,High,7,Road Closed with Detour,US-1,Vehicle Crash,1,None,0,0,False,False,False,False,False,True,The road has reopened near Exit 66 (NC-42/Wicker Street).,MAPS - STM<,Motorists must take Exit 66 (NC-42/ Wicker Street) and turn right onto NC-42/Wicker Street East.  Continue on NC-42/Wicker Street to US-421 Business North.  Continue on US-421 Business North to re-access US-1.,4/28/2017 9:03:05 PM,4/28/2017 11:27:26 PM,,,,,
505444,4/28/2017 7:21:00 PM,4/28/2017 8:11:26 PM,I-85,,Heading North,,,,152.0,-999.0,Alamance,In Mebane,7,36.0669151700574,-79.3115210995765,,,,,odhaynes,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,3,4,False,False,False,False,False,False,The 3 left lanes have reopened near Exit 152 (Trollingwood Hawfields Rd).&nbsp;,SHP,,4/28/2017 7:23:23 PM,4/28/2017 8:11:26 PM,,,,,
505443,4/28/2017 7:16:00 PM,4/28/2017 8:10:37 PM,I-40,,Heading East,,,,152.0,-999.0,Alamance,In Mebane,7,36.0668931790708,-79.3114533520164,,,,,odhaynes,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,3,4,False,False,False,False,False,False,The 3 left lanes have reopened near Exit 152 (Trollingwood Hawfields Rd).&nbsp;,SHP,,4/28/2017 7:21:09 PM,4/28/2017 8:10:37 PM,,,,,
505442,4/28/2017 6:47:00 PM,4/28/2017 7:33:47 PM,I-40,,Heading East,,,,300.0,-999.0,Wake,In Raleigh,5,35.7576161098972,-78.6126622924805,,,,,swkohl,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,3,False,False,True,False,False,False,The two right lanes have reopened near Exit 300 (Rock Quarry Road).,imap-swk-267,,4/28/2017 6:52:59 PM,4/28/2017 7:33:47 PM,,,,,
505441,4/28/2017 6:43:00 PM,4/28/2017 7:53:23 PM,US-264,,Heading East,NC-222,,NC-222,53.0,-999.0,Wilson,In Wilson,4,35.6702861832322,-77.7773003767245,,,,,stminnick,STOC,(877) 627-7862,,,Low,2,Shoulder Closed,US-264,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The median has reopened near Exit 53 (NC-222).,18:40 called SHP advised its in the median no lanes to their knowledge - STM,,4/28/2017 6:46:44 PM,4/28/2017 7:53:23 PM,,,,,
505440,4/28/2017 6:39:00 PM,4/28/2017 8:39:00 PM,I-40,,Heading West,,,,278.0,-999.0,Durham,In Durham,5,35.9066396516214,-78.8907154655127,,,,,swkohl,STOC,(877) 627-7862,,,High,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The shoulder is closed near Exit 278 (NC-55).,durham911-swk-267,,4/28/2017 6:41:39 PM,4/28/2017 7:33:01 PM,,,,,
505439,4/28/2017 6:12:00 PM,4/28/2017 6:35:16 PM,I-485,,Outer Loop,,,,65.0,-999.0,Mecklenburg,In Pineville,10,35.1014897506641,-80.881214820739,,,,,ahash,MRTMC,(704) 342-6814,,,High,8,Congestion,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,"A crash has caused congestion, expect delays and watch for emergency vehicles on the shoulder",,,4/28/2017 6:14:19 PM,4/28/2017 6:35:16 PM,,,,,
505438,4/28/2017 5:57:00 PM,4/28/2017 6:35:53 PM,I-85,,Heading South,,,,70.0,-999.0,Rowan,In China Grove,9,35.6022058091391,-80.5287259153443,,,,,odhaynes,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,4,False,False,True,False,False,False,The two right lanes have reopened near Exit 70 (Webb Road).&nbsp;,SHP,,4/28/2017 6:01:41 PM,4/28/2017 6:35:53 PM,,,,,
505435,4/28/2017 5:24:00 PM,4/28/2017 6:12:52 PM,NC-147,,Heading North,,,,6.0,-999.0,Durham,Near Durham,5,35.9101255069894,-78.8657436103665,,,,,swkohl,STOC,(877) 627-7862,,,High,10,Lane Closed,Durham Freeway,Disabled Vehicle,1,None,1,3,False,False,False,True,False,False,The right lane has reopened near Exit 6 (Cornwallis Road).,cctv-swk-267,,4/28/2017 5:26:35 PM,4/28/2017 6:12:52 PM,,,,,
505434,4/28/2017 5:08:00 PM,4/28/2017 6:43:04 PM,I-85,,Heading South,,,,68.0,-999.0,Rowan,In China Grove,9,35.5419539316098,-80.5732665720344,,,,,odhaynes,STOC,(877) 627-7862,,,Medium,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,True,False,False,False,The shoulder has reopened 2 miles North of Exit 68 (NC-152).&nbsp;,Troop E,,4/28/2017 5:14:36 PM,4/28/2017 6:43:04 PM,,,,,
505433,4/28/2017 5:01:00 PM,4/28/2017 6:42:20 PM,I-95,,Both Directions,NC-82,,NC-82,64.0,-999.0,Cumberland,In Wade,6,35.1930288024062,-78.6800073787979,,,,,stminnick,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,2,False,False,False,False,False,False,All lanes open near Exit 65 (NC-82).,SHP - STM,,4/28/2017 5:03:36 PM,4/28/2017 6:42:20 PM,,,,,
505432,4/28/2017 4:33:00 PM,4/28/2017 6:10:43 PM,NC-27,,Heading South,,,,-999.0,-999.0,Stanly,Near Albemarle,10,35.3241212309589,-80.2454074856567,,,,,ahash,MRTMC,(704) 342-6814,,,High,8,Congestion,NC-24/27,Vehicle Crash,1,None,0,0,False,False,False,False,True,False,Road now open,"contacted Richard Thompson, Div 10 Haz-mat coordinator to respond per SHP request",,4/28/2017 4:37:59 PM,4/28/2017 6:10:43 PM,,,,,
505430,4/28/2017 4:27:00 PM,4/28/2017 6:00:00 PM,US-117,,Heading South,NC-581,,Arrington Bridge Road,-999.0,-999.0,Wayne,Goldsboro,4,35.3495585150906,-78.0195226257683,,,,,waharper,Wade Harper,(919) 739-5330,,,High,10,Lane Closed,US 117 S,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,Vehicle accident,,,4/28/2017 4:31:30 PM,4/28/2017 4:31:30 PM,,,,,
505424,4/28/2017 4:00:00 PM,4/28/2017 5:00:00 PM,I-77,,Heading South,,,,6.0,-999.0,Mecklenburg,In Charlotte,10,35.1797007572454,-80.8864355473896,,,,,mamcintosh1,mrtmc,(704) 342-6814,,,High,8,Congestion,,Disabled Vehicle,1,None,0,0,False,False,False,False,False,False,A disabled vehicle is causing congestion.,,,4/28/2017 4:03:10 PM,4/28/2017 4:11:26 PM,,,,,
505421,4/28/2017 3:47:00 PM,4/28/2017 3:58:15 PM,US-52,,Heading North,,,,109.0,-999.0,Forsyth,Near Winston-Salem,9,36.0925405338368,-80.2309737205506,,,,,nasparks,STOC,(877) 627-7862,,,High,10,Lane Closed,,Disabled Vehicle,1,None,1,2,False,False,False,False,False,False,The left lane has reopened near Exit 109 (I-40 BUS).,,,4/28/2017 3:49:19 PM,4/28/2017 3:58:15 PM,,,,,
505420,4/28/2017 3:37:00 PM,4/28/2017 3:43:24 PM,US-70,,Heading East,,,,-999.0,-999.0,Craven,In Havelock,2,34.9344555397495,-76.9489623677295,,,,,stminnick,STOC,(877) 627-7862,,,High,1,Lanes Closed,US-70,Vehicle Crash,1,None,2,2,False,False,False,False,False,False,The east lanes of US-70 are closed near Slocum Road in front of 571 US-70 Hiway East.,"HERE,Havelock Police Dept. lar",,4/28/2017 3:43:06 PM,4/28/2017 3:43:24 PM,,,,,
505419,4/28/2017 3:28:00 PM,4/28/2017 3:48:01 PM,I-40,,Heading East,,,,298.0,-999.0,Wake,Near Raleigh,5,35.7550289927362,-78.6555970359728,,,,,swkohl,STOC,(877) 627-7862,,,High,10,Lane Closed,,Disabled Vehicle,1,None,1,3,False,False,True,False,False,False,The left lane has reopened near Exit 298 (South Saunders Street).,imap-swl-267,,4/28/2017 3:35:45 PM,4/28/2017 3:48:01 PM,,,,,
505418,4/28/2017 3:28:00 PM,4/28/2017 5:05:27 PM,US-70,,Both Directions,,,,-999.0,-999.0,Craven,Near Neuse Forest,2,34.917182113906,-76.941936365717,,,,,stminnick,STOC,(877) 627-7862,,,High,10,Lane Closed,US-70,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,The left lane has reopened on US-70 East in front of 571 US-70 Hiway.,"MAPS,Havelock Police Dept confirmed - STM/lar",,4/28/2017 3:30:12 PM,4/28/2017 5:05:27 PM,,,,,
